####__Q[time0,pr0],Q[time0,pr1],...,Q[time0,pr14],Q[time0,pr15]__####
####__Q[time1,pr0],Q[time1,pr1],...,Q[time1,pr14],Q[time1,pr15]__####
####__Q[time2,pr0],Q[time2,pr1],...,Q[time2,pr14],Q[time2,pr15]__####
.......
-3	-121	-117	-114	124	-62	122	-117	-52	43	-65	20	15	66	-52	18
-92	-108	-21	-98	116	22	44	-48	-75	-102	78	-108	-87	113	-76	-42
-104	-97	94	17	101	61	-24	-57	117	-77	-36	-121	-128	-21	-95	58
-116	74	-84	-41	86	-13	81	103	-84	65	-31	22	-68	112	116	-38
-83	-52	90	-117	-21	7	15	66	33	36	60	-114	60	-92	-76	-121
-61	27	56	126	121	4	-58	-41	124	127	-75	-111	-56	5	-57	-68
-85	-118	98	9	-59	-54	2	-57	50	5	-98	-12	-75	97	78	-117
-50	-31	106	53	92	125	81	110	-70	41	-42	115	37	65	55	116
52	80	-30	-79	-36	42	9	-99	63	49	77	19	-17	-34	1	91
-83	2	15	-86	5	-20	-4	-36	0	109	102	84	5	94	78	-87
57	108	-55	117	116	-84	-75	49	-79	-42	-59	-47	118	87	119	22
38	83	42	89	110	57	119	-93	1	-6	121	-20	31	-3	-50	-106
13	-127	99	-18	-81	45	-72	-85	-67	-81	115	107	-63	-25	-89	102
-55	-121	-62	-90	-125	-83	51	-120	-102	-79	-101	83	-70	27	48	101
-80	-27	-56	97	-84	94	-91	-35	16	87	-52	4	-35	-13	-21	-56
79	-60	-108	-94	75	-25	47	-30	99	-118	-59	88	-28	31	16	102
-27	-76	51	4	29	62	3	-85	-8	-6	-12	-76	119	34	-20	114
-43	101	126	44	111	-81	33	53	6	57	48	37	61	-43	-99	-4
-74	47	120	-118	-97	61	-8	-67	41	60	53	70	118	-17	100	99
106	115	54	88	-110	54	43	-8	-45	1	-92	19	-83	-100	54	-54
113	86	-9	74	-96	61	-105	72	38	26	122	40	104	-59	74	119
-118	94	106	-70	-32	99	71	115	-100	-3	35	-46	75	71	94	109
-61	-89	34	-86	-76	-44	48	29	-126	82	-23	-6	64	-122	6	75
-21	17	66	103	-97	110	-49	-62	74	100	54	-27	8	11	3	-80
